Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,"13,21,607","10,46,640",79.2 %,"69,338",6.60%,2009
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,"14,22,218","7,43,415",52.3 %,"1,67,913",22.60%,2009
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"15,93,460","7,34,048",46.1 %,"3,36,831",45.90%,2009
Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,"10,54,496","4,41,234",41.8 %,"64,814",14.70%,2009
Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,"12,26,654","10,26,860",83.7 %,"1,22,901",12.00%,2009
Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),"12,89,311","11,24,896",87.3 %,"59,419",5.30%,2009
Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,"14,40,215","8,32,705",57.8 %,"58,985",7.10%,2009
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,"14,01,423","7,05,939",50.4 %,"9,338",1.30%,2009
Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,"13,20,274","9,19,459",69.6 %,"98,444",10.70%,2009
Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,"14,41,456","7,86,516",54.6 %,"1,19,106",15.10%,2009
Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,"12,39,607","9,02,287",72.8 %,"30,429",3.40%,2009
Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,"10,81,237","8,70,792",80.5 %,"56,024",6.40%,2009
Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,"11,98,579","10,38,520",86.7 %,"60,383",5.80%,2009
Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"11,93,116","5,64,742",47.3 %,"1,00,262",17.80%,2009
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,"15,70,657","7,73,985",49.3 %,"1,05,210",13.60%,2009
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"13,36,790","10,48,144",78.4 %,"1,20,948",11.50%,2009
Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,"16,37,239","10,74,052",65.6 %,"1,40,952",13.10%,2009
Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),"14,73,263","7,18,408",48.8 %,"40,837",5.70%,2009
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"13,78,238","7,54,295",54.7 %,"1,18,687",15.70%,2009
Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,"14,01,258","8,60,948",61.4 %,"2,243",0.30%,2009
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,"12,07,552","7,11,181",58.9 %,"57,287",8.10%,2009
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,"12,86,761","6,36,564",49.5 %,"97,317",15.30%,2009
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,"15,19,449","6,58,731",43.4 %,"12,963",2.00%,2009
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"13,72,356","9,29,526",67.7 %,"54,938",5.90%,2009
Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,"14,33,346","6,29,032",43.9 %,"55,811",8.90%,2009
Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,"14,50,477","10,30,995",71.1 %,"2,51,915",24.40%,2009
Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,"14,37,111","5,60,919",39.0 %,"81,454",14.50%,2009
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"13,11,539","7,49,381",57.1 %,"27,232",3.60%,2009
Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,"13,81,619","6,23,341",45.1 %,"5,893",0.90%,2009
Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,"14,92,687","7,54,956",50.6 %,"1,35,368",17.90%,2009
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,"13,64,411","5,23,783",38.4 %,"18,886",3.60%,2009
Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,"14,83,176","5,84,180",39.4 %,"41,364",7.10%,2009
Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,"12,12,513","8,64,504",71.3 %,"55,577",6.40%,2009
Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,"14,78,391","11,29,371",76.4 %,"1,39,888",12.40%,2009
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,"14,61,714","6,59,263",45.1 %,"65,157",9.90%,2009
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"14,47,002","7,10,998",49.1 %,"2,52,760",35.60%,2009
Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,"14,70,507","7,79,256",53.0 %,"39,619",5.10%,2009
Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"13,73,604","6,49,623",47.3 %,"42,404",6.50%,2009
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Sanjay Singh Chauhan,Rashtriya Lok Dal,"12,87,070","7,07,792",55.0 %,"28,430",4.00%,2009
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"13,81,203","5,69,941",41.3 %,"19,575",3.40%,2009
Bilaspur,5,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,"14,72,793","7,70,089",52.3 %,"20,139",2.60%,2009
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"12,21,893","10,17,879",83.3 %,"61,519",6.00%,2009
Bishnupur,37,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),"12,37,948","10,54,282",85.2 %,"1,29,366",12.30%,2009
Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,"14,43,484","10,11,776",70.1 %,"90,835",9.00%,2009
Bolpur,41,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),"13,07,730","10,79,122",82.5 %,"1,26,882",11.80%,2009
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,"14,82,749","6,68,557",45.1 %,"66,065",9.90%,2009
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"13,82,736","8,53,885",61.8 %,"28,078",3.30%,2009
Burdwan - Durgapur,39,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (MARXIST),"13,53,380","11,36,226",84.0 %,"1,08,237",9.50%,2009
Buxar,33,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,"13,40,892","6,23,629",46.5 %,"2,238",0.40%,2009
Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,"10,75,390","7,94,306",73.9 %,"71,679",9.00%,2009
Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,"14,33,825","9,73,651",67.9 %,"4,002",0.40%,2009
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,"14,46,259","6,70,998",46.4 %,459,0.10%,2009
Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,24,444","3,43,579",65.5 %,"58,967",17.20%,2009
Chandni Chowk,1,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,"14,13,535","7,80,507",55.2 %,"2,00,710",25.70%,2009
Chandrapur,13,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,"15,36,352","8,98,509",58.5 %,"32,495",3.60%,2009
Chatra,4,GEN,Jharkhand,Inder Singh Namdhari,Independent,"10,37,665","4,73,936",45.7 %,"16,178",3.40%,2009
Chelvella,10,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,"16,81,664","10,84,394",64.5 %,"18,532",1.70%,2009
Chennai Central,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"10,00,705","6,10,372",61.0 %,"33,454",5.50%,2009
Chennai North,2,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,"10,16,663","6,59,927",64.9 %,"19,153",2.90%,2009
Chennai South,3,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,"11,62,062","7,28,118",62.7 %,"32,935",4.50%,2009
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"11,54,249","8,29,304",71.9 %,"1,21,220",14.60%,2009
Chhota Udaipur,21,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,"14,12,306","7,65,220",54.2 %,"26,998",3.50%,2009
Chidambaram,27,SC,Tamil Nadu,"Thirumaavalavan, Thol",Viduthalai Chiruthaigal Katchi,"11,26,828","8,69,428",77.2 %,"99,083",11.40%,2009
Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,"14,37,155","9,78,715",68.1 %,"51,381",5.20%,2009
Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,"12,84,427","8,68,001",67.6 %,"55,287",6.40%,2009
Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,"15,34,169","8,36,390",54.5 %,"1,35,571",16.20%,2009
Chittoor,42,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,"12,91,921","10,45,061",80.9 %,"10,659",1.00%,2009
Chittorgarh,21,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,"16,01,444","7,95,308",49.7 %,"72,778",9.20%,2009
Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,"15,32,266","8,02,665",52.4 %,"12,440",1.50%,2009
Coimbatore,20,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),"11,63,781","8,25,118",70.9 %,"38,664",4.70%,2009
Cooch Behar,1,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,"13,29,086","11,22,253",84.4 %,"33,749",3.00%,2009
Cuddalore,26,GEN,Tamil Nadu,Alagiri S,Indian National Congress,"9,86,030","7,50,000",76.1 %,"23,532",3.10%,2009
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,83,576","8,13,330",63.4 %,"2,36,292",29.10%,2009
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,"1,50,704","1,10,363",73.2 %,618,0.60%,2009
Dahod,19,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,"11,94,821","5,34,414",44.7 %,"58,536",11.00%,2009
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,"13,64,641","10,16,135",74.5 %,"40,420",4.00%,2009
Daman & Diu,1,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,"95,382","68,023",71.3 %,"24,838",36.50%,2009
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,"13,57,985","5,99,295",44.1 %,"70,877",11.80%,2009
Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,"13,07,067","5,45,726",41.8 %,"46,453",8.50%,2009
Darjeeling,4,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,"12,15,464","9,67,400",79.6 %,"2,53,289",26.20%,2009
Dausa,11,ST,Rajasthan,Kirodi Lal,Independent,"13,15,810","8,41,583",64.0 %,"1,37,759",16.40%,2009
Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,"13,44,920","9,07,281",67.5 %,"2,024",0.20%,2009
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,"15,80,745","7,15,579",45.3 %,"41,779",5.80%,2009
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,"12,97,313","7,87,381",60.7 %,"15,457",2.00%,2009
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"18,06,475","8,13,521",45.0 %,"58,047",7.10%,2009
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,"11,97,172","6,54,832",54.7 %,"2,661",0.40%,2009
Dharmapuri,10,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,"10,69,601","7,78,634",72.8 %,"1,35,942",17.50%,2009
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"14,11,500","7,98,496",56.6 %,"1,37,663",17.20%,2009
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,"12,69,584","7,59,548",59.8 %,"1,84,509",24.30%,2009
Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,"12,83,608","8,56,631",66.7 %,"1,86,587",21.80%,2009
Dhubri,4,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,"13,71,949","10,46,985",76.3 %,"1,84,419",17.60%,2009
Dhule,2,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,"15,75,227","6,70,487",42.6 %,"19,419",2.90%,2009
Diamond Harbour,21,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,"13,02,398","10,54,561",81.0 %,"1,51,689",14.40%,2009
Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"11,14,965","7,50,734",67.3 %,"35,143",4.70%,2009
Dindigul,22,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,"10,85,696","8,21,253",75.6 %,"54,347",6.60%,2009
Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,"14,32,938","6,81,629",47.6 %,"37,347",5.50%,2009
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Indian National Congress,"14,99,679","7,36,139",49.1 %,"76,566",10.40%,2009
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"12,12,220","9,76,769",80.6 %,"20,478",2.10%,2009
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"11,28,361","6,22,736",55.2 %,"18,812",3.00%,2009
Durg,7,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,"16,20,400","9,05,900",55.9 %,"9,954",1.10%,2009
East Delhi,3,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,"16,04,795","8,57,422",53.4 %,"2,41,053",28.10%,2009
Eluru,27,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,"12,75,575","10,84,439",85.0 %,"42,783",3.90%,2009
Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,"10,23,053","7,45,856",72.9 %,"11,790",1.60%,2009
Erode,17,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,"10,10,079","7,68,476",76.1 %,"49,336",6.40%,2009
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,"12,78,295","5,68,046",44.4 %,"1,28,268",22.60%,2009
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,"14,16,867","6,38,202",45.0 %,"46,746",7.30%,2009
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,"15,00,160","7,49,262",50.0 %,"54,228",7.20%,2009
Faridabad,10,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"11,03,046","6,24,896",56.7 %,"68,201",10.90%,2009
Faridkot,9,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,"12,88,090","9,30,521",72.2 %,"62,042",6.70%,2009
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,"13,06,214","6,11,143",46.8 %,"27,199",4.50%,2009
Fatehgarh Sahib,8,SC,Punjab,Sukhdev Singh,Indian National Congress,"12,07,556","8,38,150",69.4 %,"34,299",4.10%,2009
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Rakesh Sachan,Samajwadi Party,"15,36,621","6,94,396",45.2 %,"52,228",7.50%,2009
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Seema Upadhyay,Bahujan Samaj Party,"13,45,742","6,95,511",51.7 %,"9,936",1.40%,2009
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,"13,42,488","9,56,952",71.3 %,"21,071",2.20%,2009
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"14,22,243","6,84,881",48.2 %,"67,301",9.80%,2009
Gadchiroli-Chimur,12,ST,Maharashtra,Kowase Marotrao Sainuji,Indian National Congress,"12,85,387","8,37,822",65.2 %,"28,580",3.40%,2009
Gandhinagar,6,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,"15,55,709","7,91,098",50.9 %,"1,21,747",15.40%,2009
Ganganagar,1,SC,Rajasthan,Bharat Ram Meghwal,Indian National Congress,"14,91,983","9,10,531",61.0 %,"1,40,668",15.40%,2009
Garhwal,2,GEN,Uttarakhand,Satpal Maharaj,Indian National Congress,"10,92,282","5,39,608",49.4 %,"17,397",3.20%,2009
Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,"17,23,860","11,09,000",64.3 %,"11,855",1.10%,2009
Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Surendra Singh Nagar,Bahujan Samaj Party,"15,22,397","7,38,929",48.5 %,"15,904",2.20%,2009
Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,"13,29,192","5,63,429",42.4 %,"62,453",11.10%,2009
Ghatal,32,GEN,West Bengal,Gurudas Das Gupta,Communist Party Of India,"13,54,861","11,70,375",86.4 %,"1,47,184",12.60%,2009
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,"18,31,688","8,30,144",45.3 %,"90,681",10.90%,2009
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Radhey Mohan Singh,Samajwadi Party,"15,27,723","7,70,622",50.4 %,"69,309",9.00%,2009
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Dara Singh Chauhan,Bahujan Samaj Party,"16,93,231","7,65,689",45.2 %,"60,945",8.00%,2009
Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,"13,46,527","6,19,311",46.0 %,"94,738",15.30%,2009
Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"14,12,253","7,97,695",56.5 %,"6,407",0.80%,2009
Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Beni Prasad Verma,Indian National Congress,"13,41,455","6,05,257",45.1 %,"23,675",3.90%,2009
Gopalganj,17,SC,Bihar [2000 Onwards],Purnmasi Ram,Janata Dal (United),"13,49,072","5,04,611",37.4 %,"42,472",8.40%,2009
Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,"16,96,474","7,48,613",44.1 %,"2,20,271",29.40%,2009
Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,"15,43,771","7,59,481",49.2 %,"13,404",1.80%,2009
Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya Scindia,Indian National Congress,"12,02,772","6,50,328",54.1 %,"2,49,737",38.40%,2009
Guntur,30,GEN,Andhra Pradesh,Rayapati Sambasiva Rao,Indian National Congress,"13,65,177","10,49,921",76.9 %,"39,355",3.70%,2009
Gurdaspur,1,GEN,Punjab,Partap Singh Bajwa,Indian National Congress,"13,18,967","9,33,323",70.8 %,"8,342",0.90%,2009
Gurgaon,9,GEN,Haryana,Inderjit Singh,Indian National Congress,"12,44,437","7,56,205",60.8 %,"84,864",11.20%,2009
Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Yashodhara Raje Scindia,Bharatiya Janta Party,"14,20,728","5,84,165",41.1 %,"26,591",4.60%,2009
Hajipur,21,SC,Bihar [2000 Onwards],Ram Sundar Das,Janata Dal (United),"13,27,075","5,55,110",41.8 %,"37,954",6.80%,2009
Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"11,87,377","6,99,687",58.9 %,"72,732",10.40%,2009
Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Vijay Bahadur Singh,Bahujan Samaj Party,"14,98,840","6,99,687",46.7 %,"25,502",3.60%,2009
Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Usha Verma,Samajwadi Party,"14,16,949","5,75,093",40.6 %,"92,935",16.20%,2009
Hardwar,5,GEN,Uttarakhand,Harish Rawat,Indian National Congress,"12,94,280","7,88,217",60.9 %,"1,27,412",16.20%,2009
Hassan,16,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),"14,17,213","9,80,318",69.2 %,"2,91,113",29.70%,2009
Hathras,16,SC,Uttar Pradesh [2000 Onwards],Sarika Singh,Rashtriya Lok Dal,"14,37,725","6,48,539",45.1 %,"36,852",5.70%,2009
Hatkanangle,48,GEN,Maharashtra,Shetti Raju Alias Devappa Anna,Swabhimani Paksha,"14,58,560","9,78,507",67.1 %,"95,060",9.70%,2009
Haveri,10,GEN,Karnataka,Udasi Shivkumar Chanabasappa,Bharatiya Janta Party,"13,71,763","8,72,262",63.6 %,"87,920",10.10%,2009
Hazaribagh,14,GEN,Jharkhand,Yashwant Sinha,Bharatiya Janta Party,"13,01,651","6,90,936",53.1 %,"40,164",5.80%,2009
Hindupur,37,GEN,Andhra Pradesh,Kristappa Nimmala,Telugu Desam,"13,77,610","10,28,974",74.7 %,"22,835",2.20%,2009
Hingoli,15,GEN,Maharashtra,Subhash Bapurao Wankhede,Shiv Sena,"13,69,774","8,17,580",59.7 %,"73,634",9.00%,2009
Hisar,4,GEN,Haryana,Bhajan Lal S/o Kheraj,Haryana Janhit Congress (BL),"11,94,689","8,28,704",69.4 %,"6,983",0.80%,2009
Hooghly,28,GEN,West Bengal,Dr. Ratna De (Nag),All India Trinamool Congress,"14,05,684","11,63,978",82.8 %,"81,523",7.00%,2009
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Indian National Congress,"12,97,404","7,12,284",54.9 %,"19,245",2.70%,2009
Hoshiarpur,5,SC,Punjab,Santosh Chowdhary,Indian National Congress,"12,99,234","8,43,123",64.9 %,366,0.00%,2009
Howrah,25,GEN,West Bengal,Ambica Banerjee,All India Trinamool Congress,"13,44,746","9,94,315",73.9 %,"37,392",3.80%,2009
Hyderabad,9,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,"13,93,242","7,30,544",52.4 %,"1,13,865",15.60%,2009
Idukki,13,GEN,Kerala,Adv. P.T Thomas,Indian National Congress,"10,62,849","7,87,236",74.1 %,"74,796",9.50%,2009
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (Tai),Bharatiya Janta Party,"15,70,094","7,97,171",50.8 %,"11,480",1.40%,2009
Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,"8,26,755","5,83,323",70.6 %,"30,960",5.30%,2009
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,"14,46,345","6,33,495",43.8 %,"1,06,003",16.70%,2009
Jadavpur,22,GEN,West Bengal,Kabir Suman,All India Trinamool Congress,"13,31,537","10,85,301",81.5 %,"56,267",5.20%,2009
Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Communist Party Of India,"14,55,406","9,82,922",67.5 %,"76,735",7.80%,2009
Jahanabad,36,GEN,Bihar [2000 Onwards],Jagdish Sharma,Janata Dal (United),"12,76,912","5,99,175",46.9 %,"21,327",3.60%,2009
Jaipur,7,GEN,Rajasthan,Mahesh Joshi,Indian National Congress,"16,84,541","8,12,957",48.3 %,"16,099",2.00%,2009
Jaipur Rural,6,GEN,Rajasthan,Lal Chand Kataria,Indian National Congress,"14,44,949","6,87,165",47.6 %,"52,237",7.60%,2009
Jajpur,8,SC,Orissa,Mohan Jena,Biju Janata Dal,"12,27,088","8,17,649",66.6 %,"1,27,747",15.60%,2009
Jalandhar,4,SC,Punjab,Mohinder Singh Kaypee,Indian National Congress,"13,39,842","8,99,607",67.1 %,"36,445",4.10%,2009
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Ghansyam Anuragi,Samajwadi Party,"16,84,988","7,97,588",47.3 %,"11,409",1.40%,2009
Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,"15,49,391","6,56,612",42.4 %,"96,020",14.60%,2009
Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,"14,26,255","7,97,213",55.9 %,"8,482",1.10%,2009
Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,"15,20,957","5,77,810",38.0 %,"49,805",8.60%,2009
Jalpaiguri,3,SC,West Bengal,Mahendra Kumar Roy,Communist Party Of India (MARXIST),"12,52,142","10,32,242",82.4 %,"88,371",8.60%,2009
Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,"17,19,897","8,42,899",49.0 %,"1,21,373",14.40%,2009
Jamnagar,12,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,"12,98,599","5,94,603",45.8 %,"26,418",4.40%,2009
Jamshedpur,9,GEN,Jharkhand,Arjun Munda,Bharatiya Janta Party,"13,80,279","7,05,570",51.1 %,"1,19,663",17.00%,2009
Jamui,40,SC,Bihar [2000 Onwards],Bhudeo Choudhary,Janata Dal (United),"14,04,016","5,35,288",38.1 %,"29,797",5.60%,2009
Jangipur,9,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,"10,87,054","9,34,813",86.0 %,"1,28,149",13.70%,2009
Janjgir-Champa,3,SC,Chhattisgarh,Shrimati Kamla Devi Patle,Bharatiya Janta Party,"15,18,450","7,37,608",48.6 %,"87,211",11.80%,2009
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Dhananjay Singh,Bahujan Samaj Party,"16,62,127","7,63,987",46.0 %,"80,351",10.50%,2009
Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"14,47,157","8,72,015",60.3 %,"52,841",6.10%,2009
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Mangani Lal Mandal,Janata Dal (United),"14,18,977","6,07,835",42.8 %,"72,709",12.00%,2009
